query4399.smt2, sat, 40, 8, TO, , 6, ,
query3386.smt2, sat, 38, 8, TO, , 6, ,
query3367.smt2, sat, 33, 8, unknown, 3962, 6
query3445.smt2, sat, 41, 8, unknown, 3648, 6
query7487.smt2, sat, 61, 8, TO, , 6, ,
query3167.smt2, sat, 45, 7, TO, , 6, ,
query4933.smt2, sat, 64, 8, TO, , 6, ,
query3458.smt2, sat, 65, 8, TO, , 6, ,
query3296.smt2, sat, 57, 8, TO, , 6, ,
query3102.smt2, sat, 39, 8, TO, , 6, ,
query3487.smt2, sat, 36, 8, unknown, 3308, 6
query3555.smt2, sat, 66, 8, TO, , 6, ,
query3225.smt2, sat, 35, 7, unknown, 3111, 6
query3133.smt2, sat, 40, 8, TO, , 6, ,
query4114.smt2, sat, 49, 8, TO, , 6, ,
query3506.smt2, sat, 35, 6, unknown, 3889, 6
query8601.smt2, sat, 43, 7, unknown, 4215, 6
query3489.smt2, sat, 45, 8, unknown, 3263, 6
query3239.smt2, sat, 32, 6, TO, , 6, ,
query3358.smt2, sat, 85, 7, TO, , 6, ,
query3694.smt2, sat, 169, 9, TO, , 6, ,
query3424.smt2, sat, 43, 8, TO, , 6, ,
query3873.smt2, sat, 52, 7, TO, , 6, ,
query6620.smt2, sat, 33, 5, unknown, 1035, 5
query3979.smt2, sat, 45, 8, TO, , 6, ,
query5289.smt2, sat, 29, 5, unknown, 1765, 5
query7820.smt2, sat, 45, 8, TO, , 6, ,
query9063.smt2, sat, 39, 8, TO, , 6, ,
query3137.smt2, sat, 40, 8, TO, , 6, ,
query5041.smt2, sat, 71, 7, TO, , 6, ,
query3541.smt2, sat, 36, 8, TO, , 6, ,
query5948.smt2, sat, 35, 7, unknown, 2024, 6
query4416.smt2, sat, 50, 8, unknown, 3006, 6
query7723.smt2, sat, 37, 6, TO, , 6, ,
query3143.smt2, sat, 59, 8, TO, , 6, ,
query3359.smt2, sat, 36, 6, TO, , 6, ,
query6637.smt2, sat, 33, 6, TO, , 6, ,
query6136.smt2, sat, 45, 8, TO, , 6, ,
query3113.smt2, sat, 38, 7, TO, , 6, ,
query3711.smt2, sat, 38, 8, unknown, 3486, 6
query6780.smt2, sat, 42, 6, TO, , 6, ,
query3574.smt2, sat, 57, 8, unknown, 3250, 6
query7561.smt2, sat, 61, 8, TO, , 6, ,
query7958.smt2, sat, 50, 8, TO, , 6, ,
query3177.smt2, sat, 41, 8, unknown, 3511, 6
query8926.smt2, sat, 69, 8, TO, , 6, ,
query3570.smt2, sat, 36, 6, unknown, 275, 6
query9066.smt2, sat, 43, 8, TO, , 6, ,
query3549.smt2, sat, 68, 8, TO, , 6, ,
query3269.smt2, sat, 53, 8, TO, , 6, ,
query4249.smt2, sat, 41, 8, 
