,z3,,,EJSA,,,compare,,
qID,sat/unsat,time(ms), sufficient length (max from z3), sat/unsat,time(ms),input length , same solution set, sum of differences in length (for each input z3 of x_i - ejsa of x_i)
01_track_197.smt2, sat, 22, 24, unsat, 371, 6, , 
01_track_175.smt2, sat, 24, 79, unsat, 352, 6, , 
01_track_179.smt2, sat, 23, 8, TO, , 6, ,
01_track_163.smt2, sat, 26, 8, TO, , 6, ,
01_track_193.smt2, sat, 22, 0,  sat, 328, 0, True , 0
01_track_142.smt2, sat, 22, 15, unsat, 411, 6, , 
01_track_169.smt2, sat, 27, 3,  sat, 913, 3, False , 0
01_track_145.smt2, sat, 37, 1,  sat, 676, 1, True , 0
01_track_17.smt2, sat, 34, 31, unsat, 467, 6, , 
01_track_102.smt2, sat, 25, 3,  sat, 558, 3, False , 0
01_track_161.smt2, sat, 46, 30, TO, , 6, ,
01_track_30.smt2, sat, 27, 2,  sat, 887, 2, True , 0
01_track_80.smt2, sat, 99, 4, unsat, 260, 4, , 
01_track_18.smt2, sat, 24, 47, TO, , 6, ,
01_track_101.smt2, sat, 43, 7, TO, , 6, ,
01_track_87.smt2, sat, 189, 16, unsat, 348, 6, , 
01_track_108.smt2, sat, 23, 30, unsat, 397, 6, , 
01_track_157.smt2, sat, 24, 30, unsat, 3999, 6, , 
01_track_148.smt2, sat, 27, 21, unsat, 245, 6, , 
01_track_37.smt2, sat, 23, 53, unsat, 362, 6, , 
01_track_66.smt2, sat, 24, 3,  sat, 452, 3, True , 0
01_track_38.smt2, sat, 42, 33, unsat, 425, 6, , 
01_track_34.smt2, sat, 39, 8, unsat, 351, 6, , 
01_track_109.smt2, TO, , , TO, , 4, ,
01_track_39.smt2, sat, 25, 14, unsat, 1753, 6, , 
01_track_195.smt2, sat, 27, 5,  sat, 438, 5, True , 0
01_track_116.smt2, sat, 109, 19, unsat, 389, 6, , 
01_track_166.smt2, sat, 32, 57, unsat, 400, 6, , 
01_track_42.smt2, sat, 52, 8, TO, , 6, ,
01_track_105.smt2, sat, 26, 2, TO, , 2, ,
01_track_173.smt2, sat, 27, 57, unsat, 334, 6, , 
01_track_153.smt2, sat, 40, 17, unsat, 360, 6, , 
01_track_84.smt2, sat, 45, 12, unsat, 345, 6, , 
01_track_120.smt2, sat, 306, 51, TO, , 6, ,
01_track_176.smt2, sat, 23, 2,  sat, 323, 2, True , 0
01_track_158.smt2, sat, 30, 2, TO, , 2, ,
01_track_156.smt2, sat, 26, 35, unsat, 432, 6, , 
01_track_44.smt2, sat, 23, 0,  sat, 340, 0, True , 0
01_track_180.smt2, sat, 24, 46, unsat, 463, 6, , 
01_track_160.smt2, sat, 26, 14, unsat, 373, 6, , 
01_track_12.smt2, sat, 24, 29, TO, , 6, ,
01_track_149.smt2, sat, 32, 3,  sat, 396, 3, False , 0
01_track_71.smt2, sat, 73, 6,  sat, 783, 6, True , 0
01_track_50.smt2, TO, , , unsat, 268, 4, , 
01_track_164.smt2, sat, 28, 2,  sat, 433, 2, True , 0
01_track_188.smt2, sat, 57, 44, TO, , 6, ,
01_track_177.smt2, TO, , , unsat, 487, 4, , 
01_track_152.smt2, sat, 26, 60, unsat, 434, 6, , 
01_track_170.smt2, sat, 23, 12, unsat, 407, 6, , 
01_track_86.smt2, sat, 23, 9, unsat, 322, 6, , 
01_track_146.smt2, sat, 23, 3,  sat, 348, 3, True , 0
01_track_82.smt2, sat, 125, 23, TO, , 6, ,
01_track_172.smt2, sat, 30, 8, unsat, 585, 6, , 
01_track_20.smt2, sat, 30, 2,  sat, 1097, 2, True , 0
01_track_110.smt2, sat, 52, 24, TO, , 6, ,
01_track_119.smt2, sat, 27, 0,  sat, 370, 0, False , 0
01_track_60.smt2, sat, 57, 13, TO, , 6, ,
01_track_95.smt2, sat, 32, 3,  sat, 870, 3, True , 0
01_track_104.smt2, sat, 36, 7,  sat, 1096, 6, False , 2
01_track_72.smt2, sat, 52, 11, unsat, 1340, 6, , 
01_track_124.smt2, sat, 24, 52, unsat, 423, 6, , 
01_track_57.smt2, sat, 26, 17, unsat, 506, 6, , 
01_track_61.smt2, sat, 24, 5,  sat, 896, 5, False , 0
01_track_49.smt2, sat, 29, 13, unsat, 447, 6, , 
01_track_77.smt2, sat, 38, 62, TO, , 6, ,
01_track_192.smt2, sat, 30, 5,  sat, 797, 5, False , 0
01_track_27.smt2, sat, 30, 4,  sat, 430, 4, True , 0
