query4399.smt2, sat, 42, 8, TO, , 6, ,
query3386.smt2, sat, 34, 8, TO, , 6, ,
query3367.smt2, sat, 35, 8, unsat, 3872, 6, , 
query3445.smt2, sat, 45, 8, unsat, 3725, 6, , 
query7487.smt2, sat, 60, 8, TO, , 6, ,
query3167.smt2, sat, 36, 7, TO, , 6, ,
query4933.smt2, sat, 69, 8, TO, , 6, ,
query3458.smt2, sat, 66, 8, TO, , 6, ,
query3296.smt2, sat, 59, 8, TO, , 6, ,
query3102.smt2, sat, 38, 8, TO, , 6, ,
query3487.smt2, sat, 43, 8, unsat, 3571, 6, , 
query3555.smt2, sat, 73, 8, TO, , 6, ,
query3225.smt2, sat, 41, 7, unsat, 3325, 6, , 
query3133.smt2, sat, 44, 8, TO, , 6, ,
query4114.smt2, sat, 51, 8, TO, , 6, ,
query3506.smt2, sat, 39, 6, unsat, 4018, 6, , 
query8601.smt2, sat, 37, 7, unsat, 4183, 6, , 
query3489.smt2, sat, 46, 8, unsat, 3317, 6, , 
query3239.smt2, sat, 36, 6, TO, , 6, ,
query3358.smt2, sat, 85, 7, TO, , 6, ,
query3694.smt2, sat, 174, 9, TO, , 6, ,
query3424.smt2, sat, 44, 8, TO, , 6, ,
query3873.smt2, sat, 54, 7, TO, , 6, ,
query6620.smt2, sat, 34, 5, unsat, 1106, 5, , 
query3979.smt2, sat, 48, 8, TO, , 6, ,
query5289.smt2, sat, 31, 5, unsat, 1858, 5, , 
query7820.smt2, sat, 54, 8, TO, , 6, ,
query9063.smt2, sat, 41, 8, TO, , 6, ,
query3137.smt2, sat, 43, 8, TO, , 6, ,
query5041.smt2, sat, 71, 7, TO, , 6, ,
query3541.smt2, sat, 41, 8, TO, , 6, ,
query5948.smt2, sat, 37, 7, unsat, 2164, 6, , 
query4416.smt2, sat, 45, 8, unsat, 3146, 6, , 
query7723.smt2, sat, 40, 6, TO, , 6, ,
query3143.smt2, sat, 60, 8, TO, , 6, ,
query3359.smt2, sat, 41, 6, TO, , 6, ,
query6637.smt2, sat, 30, 6, TO, , 6, ,
query6136.smt2, sat, 55, 8, TO, , 6, ,
