query4399.smt2, sat, 39, 8, unknown, 1719, 5
query3386.smt2, sat, 34, 8, unknown, 1653, 5
query3367.smt2, sat, 32, 8, unknown, 4147, 6
query3445.smt2, sat, 50, 8, unknown, 3875, 6
query7487.smt2, sat, 58, 8, unknown, 1307, 5
query3167.smt2, sat, 31, 7, unknown, 1593, 5
query4933.smt2, sat, 61, 8, unknown, 1370, 5
query3458.smt2, sat, 61, 8, unknown, 1171, 5
query3296.smt2, sat, 55, 8, unknown, 1425, 5
query3102.smt2, sat, 36, 8, unknown, 1267, 5
query3487.smt2, sat, 37, 8, unknown, 3763, 6
query3555.smt2, sat, 66, 8, unknown, 1365, 5
query3225.smt2, sat, 37, 7, unknown, 3218, 6
query3133.smt2, sat, 38, 8, unknown, 1012, 5
query4114.smt2, sat, 53, 8, unknown, 2704, 5
query3506.smt2, sat, 32, 6, unknown, 4261, 6
query8601.smt2, sat, 32, 7, unknown, 4481, 6
query3489.smt2, sat, 41, 8, unknown, 3538, 6
query3239.smt2, sat, 31, 6, unknown, 1069, 5
query3358.smt2, sat, 82, 7, unknown, 1642, 5
query3694.smt2, sat, 170, 9, unknown, 1843, 5
query3424.smt2, sat, 40, 8, unknown, 1141, 5
query3873.smt2, sat, 49, 7, unknown, 1908, 5
query6620.smt2, sat, 29, 5, unknown, 1066, 5
query3979.smt2, sat, 42, 8, unknown, 3008, 5
query5289.smt2, sat, 36, 5, unknown, 1815, 5
query7820.smt2, sat, 42, 8, unknown, 2170, 5
query9063.smt2, sat, 36, 8, unknown, 892, 5
query3137.smt2, sat, 37, 8, unknown, 1632, 5
query5041.smt2, sat, 64, 7, unknown, 1429, 5
query3541.smt2, sat, 36, 8, unknown, 1335, 5
query5948.smt2, sat, 31, 7, unknown, 2091, 6
query4416.smt2, sat, 37, 8, unknown, 3221, 6
query7723.smt2, sat, 34, 6, unknown, 1099, 5
query3143.smt2, sat, 56, 8, unknown, 1928, 5
query3359.smt2, sat, 32, 6, unknown, 1122, 5
query6637.smt2, sat, 29, 6, unknown, 1461, 5
query6136.smt2, sat, 41, 8, unknown, 1555, 5
query3113.smt2, sat, 34, 7, unknown, 1557, 5
query3711.smt2, sat, 33, 8, unknown, 3588, 6
query6780.smt2, sat, 37, 6, unknown, 1835, 5
query3574.smt2, sat, 54, 8, unknown, 3553, 6
query7561.smt2, sat, 57, 8, unknown, 1617, 5
query7958.smt2, sat, 46, 8, unknown, 3091, 5
query3177.smt2, sat, 39, 8, unknown, 3655, 6
query8926.smt2, sat, 63, 8, unknown, 2591, 5
query3570.smt2, sat, 32, 6, unknown, 281, 6
query9066.smt2, sat, 43, 8, unknown, 2848, 5
query3549.smt2, sat, 65, 8, unknown, 1192, 5
query3269.smt2, sat, 42, 8, unknown, 1634, 5
query4249.smt2, sat, 37, 8, unknown, 2256, 5
query3314.smt2, sat, 31, 6, unknown, 1520, 5
query7704.smt2, sat, 82, 7, unknown, 1492, 5
query3556.smt2, sat, 39, 8, unknown, 4999, 6
query8582.smt2, sat, 29, 8, unsat, 1025, 5, , 
query3149.smt2, sat, 53, 8, unknown, 1832, 5
query8094.smt2, sat, 39, 8, unknown, 1302, 5
query3520.smt2, sat, 63, 8, unknown, 3419, 6
query3321.smt2, sat, 33, 8, unknown, 1205, 5
query3454.smt2, sat, 31, 8, unknown, 2297, 6
query4258.smt2, sat, 31, 8, unknown, 1414, 5
query3238.smt2, sat, 49, 8, unknown, 2071, 5
query6635.smt2, sat, 30, 8, unknown, 4131, 6
query7657.smt2, sat, 47, 8, unknown, 1642, 5
query6754.smt2, sat, 33, 8, unknown, 2611, 6
query3310.smt2, sat, 118, 11, unknown, 2956, 5
query4443.smt2, sat, 145, 11, unknown, 1515, 6
query3462.smt2, sat, 38, 8, unknown, 1623, 6
query8348.smt2, sat, 36, 8, unknown, 1303, 5
query3335.smt2, sat, 112, 9, unknown, 1107, 5
query5905.smt2, sat, 59, 8, unknown, 2000, 5
query3465.smt2, sat, 40, 8, unknown, 3193, 6
query4932.smt2, sat, 75, 7, unknown, 1559, 5
query3234.smt2, sat, 33, 8, unknown, 2138, 5
query5819.smt2, sat, 29, 5, unknown, 1139, 5
query3150.smt2, sat, 46, 8, unknown, 2064, 5
query3096.smt2, sat, 70, 9, unknown, 2331, 5
query3229.smt2, sat, 32, 6, unknown, 956, 5
query3361.smt2, sat, 32, 6, unknown, 3010, 6
query4267.smt2, sat, 42, 8, unknown, 2645, 6
query6380.smt2, sat, 79, 9, unknown, 4323, 6
query3336.smt2, sat, 62, 8, unknown, 3280, 6
query6481.smt2, sat, 49, 8, unknown, 1530, 5
query3473.smt2, sat, 63, 8, unknown, 4306, 6
query3558.smt2, sat, 30, 6, unknown, 1272, 5
query6569.smt2, sat, 38, 8, unknown, 1052, 5
query9064.smt2, sat, 35, 8, unknown, 1127, 6
query8955.smt2, sat, 45, 8, unknown, 281, 6
query3423.smt2, sat, 55, 8, unknown, 2422, 6
query6345.smt2, sat, 71, 7, unknown, 1266, 6
query3188.smt2, sat, 34, 8, unknown, 1201, 5
query4319.smt2, sat, 30, 6, unknown, 2030, 5
query8649.smt2, sat, 37, 8, unknown, 2180, 5
query5742.smt2, sat, 90, 11, unknown, 1077, 5
query2885.smt2, sat, 54, 9, unknown, 2489, 5
query8303.smt2, sat, 42, 8, unknown, 1020, 5
query3182.smt2, sat, 31, 6, unknown, 1320, 5
query3164.smt2, sat, 44, 7, unknown, 1696, 5
query9049.smt2, sat, 54, 8, unknown, 2114, 5
query3111.smt2, sat, 89, 7, unknown, 2161, 5
query3767.smt2, sat, 35, 8, unknown, 2219, 6
query5511.smt2, sat, 51, 8, unknown, 4022, 6
query5400.smt2, sat, 85, 7, unknown, 1073, 5
query8512.smt2, sat, 84, 7, unknown, 1952, 5
query5935.smt2, sat, 64, 7, unknown, 1191, 5
query3214.smt2, sat, 37, 8, unknown, 4447, 6
query6966.smt2, sat, 60, 8, unknown, 3602, 6
query3495.smt2, sat, 34, 8, unknown, 4628, 6
query7051.smt2, sat, 35, 6, unknown, 1575, 5
query3368.smt2, sat, 41, 8, unknown, 1408, 5
query3429.smt2, sat, 35, 6, unknown, 1306, 5
query3476.smt2, sat, 36, 8, unknown, 3688, 6
query7116.smt2, sat, 35, 7, unknown, 2152, 6
query3330.smt2, sat, 42, 8, unknown, 1200, 5
query3160.smt2, sat, 34, 8, unknown, 1572, 5
query3427.smt2, sat, 37, 8, unknown, 1148, 5
query3250.smt2, sat, 46, 8, unknown, 3922, 6
query3304.smt2, sat, 54, 8, unknown, 1338, 5
query3155.smt2, sat, 41, 8, unknown, 1978, 5
query3350.smt2, sat, 33, 8, unknown, 4076, 6
query6109.smt2, sat, 40, 8, unknown, 1663, 5
query3318.smt2, sat, 46, 7, unknown, 1511, 5
query5997.smt2, sat, 29, 7, unknown, 1476, 6
query8523.smt2, sat, 32, 7, unknown, 1679, 5
query3196.smt2, sat, 29, 7, unknown, 1618, 5
query3466.smt2, sat, 57, 8, unknown, 3656, 6
query8343.smt2, sat, 33, 6, unknown, 1383, 6
query4111.smt2, sat, 45, 8, unknown, 3840, 6
query5436.smt2, sat, 144, 11, unknown, 1143, 5
query8335.smt2, sat, 45, 8, unknown, 2202, 5
query3156.smt2, sat, 34, 8, unknown, 1116, 5
query6387.smt2, sat, 37, 8, unknown, 1081, 5
