01_track_197.smt2, sat, 21, 24, unsat, 348, 6, , 
01_track_175.smt2, sat, 23, 79, unsat, 333, 6, , 
01_track_179.smt2, sat, 22, 8, TO, , 6, ,
01_track_163.smt2, sat, 25, 8, TO, , 6, ,
01_track_193.smt2, sat, 22, 0,  sat, 307, 0, True , 0
01_track_142.smt2, sat, 22, 15, unsat, 363, 6, , 
01_track_169.smt2, sat, 26, 3,  sat, 817, 3, False , 0
01_track_145.smt2, sat, 33, 1,  sat, 636, 1, True , 0
01_track_17.smt2, sat, 32, 31, unsat, 433, 6, , 
01_track_102.smt2, sat, 26, 3,  sat, 540, 3, False , 0
01_track_161.smt2, sat, 45, 30, TO, , 6, ,
01_track_30.smt2, sat, 24, 2,  sat, 860, 2, True , 0
01_track_80.smt2, sat, 99, 4, unsat, 228, 4, , 
01_track_18.smt2, sat, 23, 47, TO, , 6, ,
01_track_101.smt2, sat, 42, 7, TO, , 6, ,
01_track_87.smt2, sat, 184, 16, unsat, 340, 6, , 
01_track_108.smt2, sat, 24, 30, unsat, 379, 6, , 
01_track_157.smt2, sat, 26, 30, unsat, 3813, 6, , 
01_track_148.smt2, sat, 26, 21, unsat, 230, 6, , 
01_track_37.smt2, sat, 21, 53, unsat, 341, 6, , 
01_track_66.smt2, sat, 23, 3,  sat, 424, 3, True , 0
01_track_38.smt2, sat, 42, 33, unsat, 416, 6, , 
01_track_34.smt2, sat, 38, 8, unsat, 331, 6, , 
01_track_109.smt2, TO, , , TO, , 6, ,
01_track_39.smt2, sat, 25, 14, unsat, 1741, 6, , 
01_track_195.smt2, sat, 32, 5,  sat, 422, 5, True , 0
01_track_116.smt2, sat, 107, 19, unsat, 386, 6, , 
01_track_166.smt2, sat, 34, 57, unsat, 442, 6, , 
01_track_42.smt2, sat, 50, 8, TO, , 6, ,
01_track_105.smt2, sat, 22, 2, TO, , 2, ,
01_track_173.smt2, sat, 26, 57, unsat, 366, 6, , 
01_track_153.smt2, sat, 40, 17, unsat, 351, 6, , 
01_track_84.smt2, sat, 39, 12, unsat, 330, 6, , 
01_track_120.smt2, sat, 289, 51, TO, , 6, ,
01_track_176.smt2, sat, 22, 2,  sat, 315, 2, True , 0
01_track_158.smt2, sat, 30, 2, TO, , 2, ,
01_track_156.smt2, sat, 29, 35, unsat, 463, 6, , 
01_track_44.smt2, sat, 24, 0,  sat, 357, 0, True , 0
01_track_180.smt2, sat, 24, 46, unsat, 413, 6, , 
01_track_160.smt2, sat, 23, 14, unsat, 342, 6, , 
01_track_12.smt2, sat, 22, 29, TO, , 6, ,
01_track_149.smt2, sat, 24, 3,  sat, 360, 3, False , 0
01_track_71.smt2, sat, 72, 6,  sat, 705, 6, True , 0
01_track_50.smt2, TO, , , unsat, 243, 6, , 
01_track_164.smt2, sat, 22, 2,  sat, 418, 2, True , 0
01_track_188.smt2, sat, 46, 44, TO, , 6, ,
01_track_177.smt2, TO, , , unsat, 4505, 6, , 
01_track_152.smt2, sat, 23, 60, unsat, 419, 6, , 
01_track_170.smt2, sat, 23, 12, unsat, 409, 6, , 
01_track_86.smt2, sat, 22, 9, unsat, 304, 6, , 
