,z3,,,EJSA,,,compare,,
qID,sat/unsat,time(ms), sufficient length (max from z3), sat/unsat,time(ms),input length , same solution set, sum of differences in length (for each input z3 of x_i - ejsa of x_i)
01_track_197.smt2, sat, 25, 24, unsat, 338, 6, , 
01_track_175.smt2, sat, 25, 79, unsat, 318, 6, , 
01_track_179.smt2, sat, 26, 8, unsat, 612, 4, , 
01_track_163.smt2, sat, 27, 8, unsat, 359, 2, , 
01_track_193.smt2, sat, 24, 0,  sat, 305, 0, True , 0
01_track_142.smt2, sat, 26, 15, unsat, 351, 6, , 
01_track_169.smt2, sat, 29, 3,  sat, 785, 3, False , 0
01_track_145.smt2, sat, 33, 1,  sat, 627, 1, True , 0
01_track_17.smt2, sat, 31, 31, unsat, 417, 6, , 
01_track_102.smt2, sat, 24, 3,  sat, 525, 3, False , 0
01_track_161.smt2, sat, 47, 30, unsat, 1421, 5, , 
01_track_30.smt2, sat, 27, 2,  sat, 855, 2, True , 0
01_track_80.smt2, sat, 99, 4, unknown, 226, 4
01_track_18.smt2, sat, 34, 47, unsat, 509, 2, , 
01_track_101.smt2, sat, 44, 7, unsat, 665, 3, , 
01_track_87.smt2, sat, 188, 16, unsat, 326, 6, , 
01_track_108.smt2, sat, 25, 30, unsat, 362, 6, , 
01_track_157.smt2, sat, 21, 30, unsat, 3538, 6, , 
01_track_148.smt2, sat, 28, 21, unknown, 220, 6
01_track_37.smt2, sat, 25, 53, unsat, 329, 6, , 
01_track_66.smt2, sat, 26, 3,  sat, 442, 3, True , 0
01_track_38.smt2, sat, 43, 33, unsat, 392, 6, , 
01_track_34.smt2, sat, 44, 8, unsat, 314, 6, , 
01_track_109.smt2, TO, , , unsat, 560, 1, , 
01_track_39.smt2, sat, 27, 14, unsat, 1620, 6, , 
01_track_195.smt2, sat, 29, 5,  sat, 391, 5, True , 0
01_track_116.smt2, sat, 107, 19, unsat, 359, 6, , 
01_track_166.smt2, sat, 30, 57, unsat, 344, 6, , 
01_track_42.smt2, sat, 48, 8, unsat, 863, 1, , 
01_track_105.smt2, sat, 25, 2, unsat, 376, 1, , 
01_track_173.smt2, sat, 28, 57, unsat, 316, 6, , 
01_track_153.smt2, sat, 36, 17, unsat, 331, 6, , 
01_track_84.smt2, sat, 39, 12, unsat, 308, 6, , 
01_track_120.smt2, sat, 286, 51, unsat, 1738, 5, , 
01_track_176.smt2, sat, 25, 2,  sat, 297, 2, True , 0
01_track_158.smt2, sat, 31, 2, unsat, 325, 1, , 
01_track_156.smt2, sat, 28, 35, unsat, 412, 6, , 
01_track_44.smt2, sat, 21, 0,  sat, 309, 0, True , 0
01_track_180.smt2, sat, 26, 46, unsat, 389, 6, , 
01_track_160.smt2, sat, 21, 14, unsat, 310, 6, , 
01_track_12.smt2, sat, 25, 29, unsat, 4238, 4, , 
01_track_149.smt2, sat, 26, 3,  sat, 350, 3, False , 0
01_track_71.smt2, sat, 70, 6,  sat, 633, 6, True , 0
01_track_50.smt2, TO, , , unknown, 228, 4
01_track_164.smt2, sat, 24, 2,  sat, 369, 2, True , 0
01_track_188.smt2, sat, 47, 44, unsat, 360, 1, , 
01_track_177.smt2, TO, , , unsat, 425, 4, , 
01_track_152.smt2, sat, 26, 60, unsat, 378, 6, , 
01_track_170.smt2, sat, 25, 12, unsat, 341, 6, , 
01_track_86.smt2, sat, 25, 9, unsat, 293, 6, , 
01_track_146.smt2, sat, 32, 3,  sat, 313, 3, True , 0
01_track_82.smt2, sat, 118, 23, unsat, 1237, 2, , 
01_track_172.smt2, sat, 32, 8, unsat, 509, 6, , 
01_track_20.smt2, sat, 29, 2,  sat, 911, 2, True , 0
01_track_110.smt2, sat, 46, 24, unsat, 1315, 4, , 
01_track_119.smt2, sat, 25, 0,  sat, 339, 0, False , 0
01_track_60.smt2, sat, 55, 13, unsat, 442, 2, , 
01_track_95.smt2, sat, 34, 3,  sat, 812, 3, True , 0
01_track_104.smt2, sat, 36, 7,  sat, 825, 6, False , 2
01_track_72.smt2, sat, 52, 11, unsat, 1127, 6, , 
01_track_124.smt2, sat, 25, 52, unsat, 362, 6, , 
01_track_57.smt2, sat, 26, 17, unsat, 455, 6, , 
01_track_61.smt2, sat, 25, 5,  sat, 708, 5, False , 0
01_track_49.smt2, sat, 25, 13, unsat, 286, 6, , 
01_track_77.smt2, sat, 34, 62, unsat, 2519, 2, , 
01_track_192.smt2, sat, 25, 5,  sat, 654, 5, False , 0
01_track_27.smt2, sat, 25, 4,  sat, 344, 4, True , 0
01_track_114.smt2, sat, 23, 15, unsat, 547, 6, , 
01_track_135.smt2, sat, 452, 8, unsat, 4511, 1, , 
01_track_76.smt2, sat, 25, 4,  sat, 373, 4, True , 0
01_track_168.smt2, sat, 25, 5, unsat, 308, 2, , 
01_track_123.smt2, sat, 29, 33, unsat, 612, 3, , 
01_track_52.smt2, sat, 26, 21, unsat, 362, 6, , 
01_track_191.smt2, sat, 35, 14, unsat, 2246, 5, , 
01_track_47.smt2, sat, 37, 11, unsat, 687, 4, , 
01_track_117.smt2, sat, 48, 21, unsat, 2102, 5, , 
01_track_199.smt2, sat, 36, 22,  sat, 767, 6, False , 13
01_track_154.smt2, sat, 26, 4,  sat, 305, 4, False , 6
01_track_174.smt2, TO, , , unsat, 422, 4, , 
01_track_165.smt2, sat, 28, 41, unsat, 318, 6, , 
01_track_162.smt2, sat, 32, 17, unsat, 3831, 3, , 
01_track_139.smt2, sat, 106, 21, unsat, 1928, 5, , 
01_track_112.smt2, sat, 24, 1,  sat, 301, 1, True , 0
01_track_73.smt2, sat, 25, 39, unsat, 4986, 5, , 
01_track_182.smt2, sat, 29, 2,  sat, 376, 2, True , 0
01_track_43.smt2, TO, , , unsat, 2749, 2, , 
